ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1349053640,60311,20214566,PAXwrdfrm100x58x201whiteN,Truck,FullServeinternal
1349053640,60311,30256891,KOMPLclothesrail100white,Truck,FullServeinternal
1349053640,60311,60442383,FORSANDNdoor50x195white,Truck,FullServeinternal
1349053640,60311,70277957,KOMPLshelf100x58white,Truck,FullServeinternal
1348940750,60313,10446883,FRNIMMANpowersuppcrd3.5mGB,Truck,Markethall
1348940750,60313,10529086,VERSIDANLEDwrdlghtstrpwsensor71dimwhiUK,Truck,Markethall
1348940750,60313,60342656,TRDFRIdrvrfwrlsscntrl30Wsmartgrey,Truck,Markethall
1348940750,60313,60529084,VERSIDANLEDwrdlghtstrpwsensor46dimwhiUK,Truck,Markethall
1348940750,60313,70529088,VERSIDANLEDwrdlghtstrpwsensor96dimwhiUK,Truck,Markethall
1348940750,60314,10446557,KOMPLshoeinsertfp-outtray100x35lgrey,Truck,SelfServe
1348940750,60315,214505,KOMPLsoftclsnghinge3-p,Truck,FullServeinternal
1348940750,60315,10368489,KOMPLsoftclsnghingefcornsect6-p,Truck,FullServeinternal
1348940750,60315,20214566,PAXwrdfrm100x58x201whiteN,Truck,FullServeinternal
1348940750,60315,20329195,TYSSEDALdoor50x195white/glass,Truck,FullServeinternal
1348940750,60315,30256891,KOMPLclothesrail100white,Truck,FullServeinternal
1348940750,60315,30277959,KOMPLshelf50x58white,Truck,FullServeinternal
1348940750,60315,70214559,PAXwrdfrm50x58x201whiteN,Truck,FullServeinternal
1348940750,60315,70246386,KOMPLp-outtray100x58white,Truck,FullServeinternal
1348940750,60315,70277957,KOMPLshelf100x58white,Truck,FullServeinternal
1348940750,60315,70346932,PAXadd-oncrnrutw4shlvs53x58x201white,Truck,FullServeinternal
1348940750,60315,80331930,HEIMdoor50x195mirrorglass,Truck,FullServeinternal
1348940750,60315,90256893,KOMPLclothesrail50white,Truck,FullServeinternal
1352309654,60316,40415031,KOPPLAN3-prtUSBchrgrwhiteGB,Collect,Markethall
1352309654,60316,60534641,SCKKRRAcarrierbag37x57x39cm/71lof-wh/blstr,Collect,Markethall
1352309654,60316,80377937,FENOMENNunscentedblckcndls5natural,Collect,Markethall
1352309654,60317,50490138,RSHULTtrolley28x38x65grey,Collect,SelfServe
1352309976,60318,50160208,LURYslatbdbse70x200,Collect,SelfServe
1352309976,60318,90124534,SKORVAmidbeamgalvanised,Collect,SelfServe
1352310484,60320,445332,MLLSTENtoppartoutfloordeck0.81mgy/wh9-p,Truck,SelfServe
1352310484,60320,510308,"NMMARtable,out75x63lightbrownstained",Truck,SelfServe
1352310484,60320,10391772,FRSNcvrbackcshn62x44outdoorbeigeGB,Truck,SelfServe
1352310484,60320,10510299,NMMARseatsecfmodsofaoutlbrwnstnd,Truck,SelfServe
1352310484,60320,30391766,FRSNcvrseatcshn62x62outdoorbeigeGB,Truck,SelfServe
1352310484,60320,30409295,KOLBJRNcabinetin/out80x81beige,Truck,SelfServe
1352310484,60320,40391836,DUVHOLMENinnerbckcshn62x44outdooroff-whiGB,Truck,SelfServe
1352310484,60320,40456286,MLLSTENbottompartoutflodeck0.81mdgrey,Truck,SelfServe
1352310484,60320,40510306,NMMARloungechroutlightbrownstained,Truck,SelfServe
1352310484,60320,50396094,KUGGparasolfrm300tilting/grey,Truck,SelfServe
1352310484,60320,50494141,RUNNENNedgingstripoutflrdeck4pcsdgrey4-p,Truck,SelfServe
1352310484,60320,60396121,LINDJAparasolcanp300beige,Truck,SelfServe
1352310484,60320,60409294,KOLBJRNshlvngunitin/out80x81beige,Truck,SelfServe
1352310484,60320,60518486,"RUNNENfloordeck,out0.81macacia9-p",Truck,SelfServe
1352310484,60320,70510300,"NMMARstool,out37x45foldable/lbrwnstnd",Truck,SelfServe
1352310484,60320,90391853,DUVHOLMENinnerseatcshn62x62outdooroff-whiGB,Truck,SelfServe
1352310484,60320,90511105,"NMMARchrwarmrsts,outlightbrownstained",Truck,SelfServe
1350878076,60319,452544,PLATSAopenshoestorut80x40x60white,Customer,FullServeinternal
1350878076,60319,20331198,LTTHETlegadjustablewhite4-p,Customer,FullServeinternal
1350780513,60322,80470030,VALEVGpcktsprmattStanKgfirm/lightblueGB,AfterSales,SelfServe
1352310072,60321,10244743,MICKEdesk105x50black-brown,Truck,SelfServe
1352310072,60321,40294982,KARMSUNDstandmirr40x167black,Truck,SelfServe
1352310072,60321,40295528,BESTshelf56x36black-brown,Truck,SelfServe
1352310072,60321,40393661,KULLENNNchest/5drw70x112black-brown,Truck,SelfServe
1352310072,60321,50293604,BESTsupportingleg10grey,Truck,SelfServe
1352310072,60321,60293566,STUBBARPlegblack-brown2-p,Truck,SelfServe
1352310072,60321,90294512,BESTTVbnch120x40x38black-brown,Truck,SelfServe
1352311565,60323,10357004,KALLRRhandle405mmstainlesssteel2-p,Truck,SelfServe
1352311565,60324,214505,KOMPLsoftclsnghinge3-p,Truck,FullServeinternal
1352311565,60324,20214566,PAXwrdfrm100x58x201whiteN,Truck,FullServeinternal
1352311565,60324,30256891,KOMPLclothesrail100white,Truck,FullServeinternal
1352311565,60324,60442383,FORSANDNdoor50x195white,Truck,FullServeinternal
1352311565,60324,70277957,KOMPLshelf100x58white,Truck,FullServeinternal
1352309339,60325,10311308,KOPPANGchest/6drw172x83white,Collect,SelfServe
1352309339,60325,20200456,HEMNESbdstable46x35whitestain,Collect,SelfServe
1352311697,60326,428549,SKUBBNboxs6white,Collect,Markethall
1352311697,60326,10308198,MUSKOTplantpot24white,Collect,Markethall
